"Category","최빈국(LDCs)","기타저소득국(LICs)","중저소득국(LMICs)","고중소득국(UMICs)","미분류"
2014,34.5,1.4,36.7,13.5,13.9
2015,35.9,1.1,37.3,12,13.7
2016,32.6,1.3,35.4,11.3,19.4
2017,33.5,1.4,30.4,10.3,24.5
2018,33.3,0.1,32.6,11,23.1
2019,35,0.1,33.8,11.5,19.7
2020,30.2,1.3,31.8,8.1,28.6
2021,29.1,1.8,33.7,9.9,25.5
2022,32.7,2.1,30.1,9.4,25.7
2023,33,,31,13.6,22.4
